Tweet ID,Text,Username,Time,Location
1327975253323247618,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",vidar pedersen,2020-02-03 00:00:00,Norway
1327975254027808769,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",Come on MAN!!!,2020-02-03 00:00:00,USA
1327975261254557701,RT @JHainesYoung: India’s rural wrestlers beaten down by coronavirus pandemic -- amazing pictures to accompany this by @snktjain for @TheNa…,Subodh,2020-02-03 00:00:00,India
1327975263058071553,RT @anandmahindra: Just the kind of centre-state coordination we’d like to see when the lives of citizens are at stake. 👏👏👏,Ashutosh Singhania🇮🇳,2020-02-03 00:00:00,India
1327975263112548354,"RT @bhartiyabhaktt: Are they mad taking crucial steps to avoid the spread of the virus 
Please the top personnel need to understand the gri…",𝚈𝙰𝙶𝚈𝙰 𝙰𝚁𝙾𝚁𝙰,2020-02-03 00:00:00,India
1327975274600833024,RT @refusalxx: Trump we don't need this here they can have it all to themselves! https://t.co/pyTcU42rcj,Steve Hall,2020-02-03 00:00:00,USA
1327975337586778112,RT @SaraCarterDC: Anomalies that must be investigated!!! If the US Attys in PA don’t do it  @RepMattGaetz we’re worse than a banana republi…,President Elect McKraken,2020-02-03 00:00:00,USA
1327975339549728768,RT @paulkrugman: Gavyn Davies points out that the failure of many nations to deal effectively with the coronavirus bodes ill for our abilit…,Sandro Stealth,2020-02-03 00:00:00,Canada
1327975356620390400,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",C&JVeterans,2020-02-03 00:00:00,USA
1327975399440179201,"RT @SJPFISH: Joe Biden’s Transition team already said they are going to lockdown America 🇺🇸 for 4-6 weeks !

Too bad the Election is gettin…",🇺🇸Freedom_MAGA (Acts 16:31)🇺🇸,2020-02-03 00:00:00,USA
1327975421502136320,"3 English songs in 2020 act, in which one is your debut, other one is unplanned and released to express the feeling… https://t.co/38fw3VJBBm",StreAM.,2020-02-03 00:00:00,India
1327975426241798146,"RT @ungerbn103: @RudyGiuliani Operation Warp Speed did not create the vaccine.

Trump lost The Coronavirus War in February, when we only ha…",Kimmee 🇨🇦🇺🇸🌊🐾🐈🐈🐕🐕🐕,2020-02-03 00:00:00,Canada
1327975434236162048,"..stand up, church!..
..come out and stand up!.",Linda Kester,2020-02-03 00:00:00,USA
1327975464657293312,RT @AusHCIndia: The @RSSorg has been actively supporting the community during #COVID19. I met with Sarsanghchalak Dr Mohan Bhagwat who shar…,Snehil Singh 🇮🇳,2020-02-03 00:00:00,India
1327975489361866755,"China congratulates Biden and Harris on election, one step closer to total economic domination  666 #BuyAndSell… https://t.co/kttvTf9FVA",Phillip N. Legg,2020-02-03 00:00:00,USA
1327975495829491712,RT @RedDragonFly19: “it was the crowning of stupidity to claim that someone could have Covid-19 without any symptoms at all or even to pass…,Lisa 🇨🇦🇺🇸,2020-02-03 00:00:00,Canada
1327975503417008130,RT @TimRunsHisMouth: Scientists around the world now know enough about COVID that there is no longer any reasonable excuse for a new lockdo…,Dman SUPERELITE🌟🌟🌟,2020-02-03 00:00:00,USA
1327975586317430784,RT @OpIndia_com: Diwali magic: Nidhi Razdan goes from anti-lockdown crusader to demanding lockdown to punish citizens after Kejriwal perfor…,JP,2020-02-03 00:00:00,India
1327975624095490048,"RT @JesseLehrich: ""The president has not attended a coronavirus task force meeting in 'at least 5 months'""
https://t.co/cj4I2IH4JE",wjfairfield,2020-02-03 00:00:00,USA
1327975643489984513,RT @HeatherWhaley: Great job on the pandemic @realDonaldTrump,just CJ / Biden Harris 💙💙,2020-02-03 00:00:00,USA
1327975649575915521,RT @tedlieu: Epic failure by @POTUS. Trump surrendered to the virus. History will not be kind to @realDonaldTrump.,Tom A,2020-02-03 00:00:00,USA
1327975679997054976,"#France records sharp rise in #Covid19 #deaths as #Europe tightens restrictions
https://t.co/GtebEb30Hl https://t.co/pCcCPwpNCW",Remi Cena,2020-02-03 00:00:00,Canada
1327975741913493506,"RT @DrEricDing: Only 28 states mandate masks. This is not going to end well. Remember, case surge today ==&gt; death surge in ~3 weeks. Decemb…",Dr. DMD,2020-02-03 00:00:00,USA
1327975741946990592,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",ClassyKat,2020-02-03 00:00:00,USA
1327975743624785920,"RT @picardonhealth: How an Australian🇦🇺 state beat its second wave of #COVID19: Widespread testing, relentless contact tracing and draconia…",Stauers,2020-02-03 00:00:00,Canada
1327975747961675777,"#COVID_19 DON'T PANIC
#BeatTheCheat https://t.co/3Pg3ueTclr",save DEMOCRACY,2020-02-03 00:00:00,USA
1327975786243117058,Canada offers guide for international students arriving during coronavirus https://t.co/a7uOistkHv If this can go o… https://t.co/gp63QpHhSB,HomenusRevelio3,2020-02-03 00:00:00,Canada
1327975794941911041,RT @LicypriyaK: .@theicai trying to conduct exams forcefully for 20 days during this air pollution crisis &amp; COVID19 situation is very immat…,Sreekanth reddy🇮🇳,2020-02-03 00:00:00,India
1327975807449329665,"RT @ShivaniPatel23: Others : lockdown hai yar productivity bohot kum ho gayi hai not feeling it 
@ArmaanMalik22 : hold my 🎙 

HM IS COMING",Boo👻,2020-02-03 00:00:00,India
1327975820506238976,Dedicated multi-department teams to visit all private hospitals in Delhi for inspection of availability of  COVID19… https://t.co/pOUOf5qf81,NewsMobile,2020-02-03 00:00:00,India
1327975834381008902,Brilliant indeed!!,Teja Naga Bharan,2020-02-03 00:00:00,India
1327975840722817024,"Reliance industries Ltd #RIL bought majority stake in  Urban Ladder

Lockdown period have been effectively utilized by this company",Revolutionary Raja for Taxation & Economic Reform!,2020-02-03 00:00:00,India
1327975871924334592,"RT @Blavity: This is incredible 👏🏿  Frank and Laura Day Baker were planning the gesture for a while, but the need became even more urgent d…",PragmaticObotsUnite,2020-02-03 00:00:00,USA
